Link of Listing,Home Type,City,Address,Status,Price,Broker Name
https://www.zillow.com/homedetails/380-Saint-Johns-Pl-8-Brooklyn-NY-11238/2053347725_zpid/,MULTI_FAMILY,Brooklyn,"380 Saint John's Pl. UNIT 8, Prospect Heights, NY 11238",For Sale by Agent,"$3,800,000",EXP Realty
https://www.zillow.com/homedetails/551-E-52nd-St-Brooklyn-NY-11203/30654931_zpid/,SINGLE_FAMILY,Brooklyn,"551 E 52nd St, Brooklyn, NY 11203",For Sale by Agent,"$475,000",Serendipity Estates LLC
https://www.zillow.com/homedetails/535-Pacific-St-Brooklyn-NY-11217/338704773_zpid/,TOWNHOUSE,Brooklyn,"535 Pacific St, Brooklyn, NY 11217",For Sale by Agent,"$9,995,000",Compass
https://www.zillow.com/homedetails/737-Glenmore-Ave-Brooklyn-NY-11208/30638745_zpid/,MULTI_FAMILY,Brooklyn,"737 Glenmore Ave, Brooklyn, NY 11208",For Sale by Agent,"$899,000",Keystone Realty USA Corp
https://www.zillow.com/homedetails/1520-Putnam-Ave-Brooklyn-NY-11237/30628573_zpid/,MULTI_FAMILY,Brooklyn,"1520 Putnam Ave, Brooklyn, NY 11237",For Sale by Agent,"$1,499,000",The Agency
https://www.zillow.com/homedetails/271-E-38th-St-Brooklyn-NY-11203/30659687_zpid/,SINGLE_FAMILY,Brooklyn,"271 E 38th St, Brooklyn, NY 11203",For Sale by Agent,"$650,000",K Fortuna Realty Inc. Wf
https://www.zillow.com/homedetails/1247-Ryder-St-Brooklyn-NY-11234/30761737_zpid/,MULTI_FAMILY,Brooklyn,"1247 Ryder St, Brooklyn, NY 11234",For Sale by Agent,"$1,235,000",Ian Homes
https://www.zillow.com/homedetails/2072-E-74th-St-Brooklyn-NY-11234/30782383_zpid/,SINGLE_FAMILY,Brooklyn,"2072 E 74th St, Brooklyn, NY 11234",For Sale by Agent,"$639,000",Classic Homes & Properties
https://www.zillow.com/homedetails/2326-85th-St-1-Brooklyn-NY-11214/2053390652_zpid/,SINGLE_FAMILY,Brooklyn,"2326 85th St #1, Brooklyn, NY 11214",For Sale by Agent,"$980,000",ProBase Real Estate
https://www.zillow.com/homedetails/2491-E-3rd-St-Brooklyn-NY-11223/30739506_zpid/,MULTI_FAMILY,Brooklyn,"2491 E 3rd St, Brooklyn, NY 11223",For Sale by Agent,"$1,095,000",Ilite Realty Inc
